F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
0,0,16,2.02,0.52,-2.35,-1.98,-0.7,85,6,-2.07,-0.07,1.08,15,-0.63,-3.49,-1.68,0.02,15.3,NaN,True
0,0,86,-0.9,2.75,0.14,0.83,-0.06,107,1,-0.86,0.17,1.06,-8,-1.21,0.34,0.36,0.61,10.1,NaN,True
1,1,165,0.73,1.05,0.1,2.57,-1.65,41,5,0.08,0.04,0.42,-6,-0.46,-0.62,1.67,2.6,11,1.55,False
1,1,191,-1.5,0.79,0.33,1.24,1.35,17,2,-0.85,1.74,1.74,15,0.47,0.63,0.08,0.19,6.3,0.95,False
1,1,13,0.25,-1.19,-0.9,2.67,0.22,12,8,0.68,-0.39,1.25,25,-0.09,-2.41,-0.53,-0.77,10.5,NaN,True
0,1,113,-1.73,3.3,1.02,0.68,-0.75,79,17,0.6,-0.93,0.6,-13,-1.06,3.49,1.09,-0.14,16.9,-0.77,True
0,0,85,2.78,0.48,-0.52,1.54,-0.48,81,4,0.44,0.26,0.61,-14,1.1,3,0.04,0.74,10.8,-3.83,False
0,1,38,1.37,-0.24,-1.65,-1.48,-0.14,65,-26,-1.96,0.35,2.27,-10,0.69,-0.43,-0.9,-0.86,7.9,-0.17,True
0,0,23,-1.44,-0.57,0.48,-0.27,-0.95,39,-5,-0.71,0.63,0.85,15,-2.19,1.86,1.17,-0.36,4.6,-0.51,True
1,1,7,-0.1,0.26,-0.45,0.22,-0.56,45,-6,-0.71,-0.23,2.36,18,-1.68,-1.58,-1.3,-0.1,1.6,-0.73,True
0,1,21,1.22,-0.44,-1.28,0.15,0.03,38,18,-0.61,-1.03,0.83,0,-0.58,3.05,-0.87,1.41,4.3,-1.01,True
1,0,65,-1.35,0.86,1.64,1.4,-1.37,44,-10,-0.05,-0.7,0.26,-4,-0.54,2.11,0.82,1.08,9.1,0.07,False
1,1,95,1.77,-0.16,1.15,0.56,-0.31,18,25,-0.24,-1.7,1.27,19,-0.07,0.05,0.39,1.11,5.9,-1.75,True
1,0,242,-0.5,0.2,-1.35,0.89,-0.58,19,11,-0.94,0.68,0.07,31,-0.29,-0.73,0.03,0.73,4.2,-1.07,True
1,1,7,0.32,0.42,0.55,2.02,-1.1,3,-9,1.14,-1.82,1.88,11,0.2,2.64,0.73,-1.36,6.9,0.41,True
1,0,224,-0.77,0.88,-0.13,3.12,-0.39,41,-8,0.84,0.56,0.19,9,-0.3,2.59,0.42,-0.93,11.3,NaN,False
0,1,72,1.34,-0.08,0.16,0.05,-0.69,36,10,-0.98,0.39,1.76,-9,0.53,-0.79,0.77,0.38,3.3,1.23,True
0,1,200,0.46,0.53,-1.33,1.44,-0.52,104,-5,0.57,0.35,2.01,2,0.92,0.73,-1.06,-0.12,4.6,-4.39,False
0,0,62,0.49,0.53,1.49,1.29,0.47,30,22,0.01,-2.19,0.3,-5,-0.72,-0.02,0.04,-0.53,4.6,-0.45,False
0,1,23,-2.03,0.33,0.17,2.28,0.04,46,13,0.08,0.18,0.47,16,-0.76,-1,0.89,-0.56,9.5,0.71,False
1,0,150,-0.5,0.55,-1.23,1.84,-0.76,26,-4,-0.17,1.78,1.46,-8,-0.03,1.21,0.56,-0.26,6,1.75,False
1,1,89,1.56,0.18,1.15,0.04,-1.9,11,2,-1.35,0.38,0.55,10,0.88,-0.43,-0.73,-0.73,8.4,-0.03,True
0,0,5,1.5,-0.63,1.56,2.03,0.73,70,-19,1.17,0.62,0.91,12,-1.16,2.39,0.08,0.86,10.7,-2.83,True
1,0,64,-1.19,-1.22,0.13,2.59,-0.15,37,29,0.41,0.31,0.67,-11,-1.04,1.43,-0.57,1.41,10.7,3.45,True
0,0,149,-1.47,-0.17,-0.4,2.14,-0.72,28,20,0.16,-1.72,0.84,16,-0.34,0.18,1.22,0.53,7.4,NaN,False
1,1,86,-0.19,-1.14,-0.38,-0.44,-0.2,27,2,-1.27,-0.76,0.1,-13,-1.23,-1.83,-1.07,0.76,1.7,0.85,False
1,0,118,-3.99,-1.14,-0.5,-1.03,1.12,52,14,-2.23,0.04,1.14,26,1.55,-2.46,0.31,1.17,20.8,-0.99,True
1,0,281,-1.9,-0.67,-0.77,2.41,0.83,17,-11,0.59,-0.49,1.91,-9,0.91,-0.03,0.19,-0.02,11.1,1.75,False
1,0,63,-4.3,1.05,-0.93,-0.58,0.14,18,8,-0.75,1.14,1.78,-12,0.4,-1.71,-0.8,-0.31,20.8,NaN,False
0,1,140,1.14,-0.25,2.56,0.06,-0.1,18,27,-1.1,1.57,0.07,6,0.37,1.19,2.62,-0.8,7.9,NaN,False
1,1,96,0.38,-0.83,0.49,2.06,-0.67,22,1,1.09,-0.27,0.07,13,-1.35,-0.06,-0.58,-0.66,6.8,0.01,True
0,1,153,-1.26,-0.85,0.45,-0.82,0.58,0,28,-1.54,1,1.17,-6,0.39,-1.07,0.15,-1.11,3.5,NaN,False
1,1,80,-0.5,0.6,0.76,0.01,-1.57,2,7,-0.13,-1.13,1.77,-5,0.49,0.42,-0.21,-1.4,3.7,0.55,False
1,1,100,0.82,-0.46,2.39,0.16,0.25,6,19,0.03,0.95,0.71,43,0.91,2.57,0.51,0.23,6.7,-4.31,False
0,1,79,2.34,1.71,0.63,1.72,0.24,25,34,0.99,-0.59,0.03,-4,-0.13,0.24,0.8,1.71,11.8,NaN,False
1,0,79,-0.45,-0.81,0.86,1.73,0.71,2,30,1.66,0.74,1.01,-5,-1.02,1.06,0.51,0.34,5.1,-0.07,False
1,1,34,-2.71,-1.12,-2.1,1.58,-0.76,47,17,0.19,0.38,1.11,-14,0.64,-1.42,-0.26,-0.78,16.1,NaN,False
1,1,56,-0.99,-0.7,-1.46,-0.87,-0.32,35,13,-0.93,-0.35,0.27,-8,-0.56,-0.14,0.03,-0.54,4.5,NaN,False
1,0,17,-0.83,0.26,0.94,-0.39,0.24,76,-16,-0.72,0.02,2.77,-14,-0.85,0.45,0.39,0.18,2.8,-0.33,True
1,1,43,-0.37,-1.82,0.98,0.23,-0.8,53,18,-1.25,-0.3,1.33,-4,-1.04,1.3,-0.42,1.88,5.1,NaN,False
1,1,174,-1.13,-1.79,1.06,3.93,0.75,49,5,0.92,-0.11,0.05,5,0.05,-0.83,0.38,-0.37,22.6,4.43,True
1,0,179,-0.29,0.04,-0.14,2.71,0.55,62,11,1.43,-2.08,0.13,-2,-0.67,1.31,-0.54,0.43,8.8,0.13,True
1,0,36,1.61,-0.61,-1.28,1.96,0.99,65,14,0.79,-1.3,0.19,-7,3.26,1.06,-0.37,-0.31,9.4,-2.57,False
1,1,26,-0.19,-0.97,0.08,0.54,-2.27,34,-9,0.09,0.23,1.35,55,0.79,-0.27,-0.21,0.06,7.4,-5.13,True
1,1,123,0.25,-0.55,0.17,0.55,-0.05,7,19,0.39,0.52,2.05,11,1.81,2.29,0.06,0.19,0.7,NaN,False
1,0,213,-0.39,-0.83,-1.27,2.98,-1.52,23,-2,1.11,0,2.33,11,0.02,1.1,0.65,2.03,13.6,NaN,False
1,0,102,-1.15,0.95,1.49,1.81,-0.85,42,-7,1.33,-0.39,1.18,1,-0.61,1.53,-0.36,0.56,8.4,-0.49,False
1,0,54,1.03,0.94,0.23,3.51,-0.38,57,8,1.58,-0.08,0.01,-5,-0.95,-0.71,0.06,-0.55,14.5,NaN,False
0,0,219,-1.41,-0.29,-2.9,-1.32,-0.43,43,26,-1.84,0.08,0.35,-10,-0.9,-1.13,-0.82,-1.38,13.4,1.15,True
1,1,265,-0.17,1.39,2.08,0.11,0.7,28,-5,-0.13,0.96,1.65,32,-1.06,0.89,-0.3,-0.66,6.8,NaN,False
1,0,32,-2.16,-0.06,-0.11,3.07,-0.13,62,38,1.95,0.33,2.08,-9,-0.13,-1.09,-1.09,-0.17,14.1,0.25,False
1,1,58,0.89,-0.81,-0.21,2.15,-1.39,34,45,0.21,1.22,0.41,12,-1.07,-2.31,-0.56,0.2,8,-0.63,False
1,1,127,-0.18,-0.37,1.42,1.2,-0.97,3,-12,-1.78,-0.13,2,-6,1.32,0.34,-0.67,0.17,4.6,NaN,False
0,0,62,-1.39,0.91,0.76,2.26,1.89,61,0,1.62,-1.26,0.58,6,0.06,-2.99,-0.65,0.72,13,-0.65,True
1,1,20,-1.46,-1.5,-0.49,-0.91,-0.24,12,7,-2.05,0.29,2.78,12,-0.38,-0.01,0.6,0.85,6.5,NaN,True
0,0,58,-0.54,-0.98,-1.13,1.96,0.77,9,-27,1.09,1.16,0.37,0,-0.09,-1.6,-1.61,0.77,8,1.97,True
1,0,83,1.27,1.46,0.97,1.52,1.61,9,21,-0.1,-0.96,0.06,-12,0.97,0.28,-0.31,-0.75,9.6,NaN,False
1,0,26,-1.12,0.28,2.54,2.71,-0.43,9,2,1,-1.98,1.77,4,1.55,-1.04,-0.12,-0.72,16.3,2.47,True
0,1,175,-0.73,-1.3,-0.58,1.85,-0.16,25,11,-0.1,-1.2,2.02,-19,-0.89,0.38,-0.2,1.23,7,3.01,True
1,0,267,-1.01,0.46,-0.8,-1.77,-2.04,15,12,-2.32,0.12,0.87,17,0.57,2.15,-0.92,0.1,10.2,0.57,True
1,0,4,-0.58,1.48,0.77,0.18,-0.7,22,4,-0.26,1.51,0.22,15,0.43,0.03,-0.43,1.08,3.6,NaN,False
0,1,9,-0.84,1.78,-0.44,-0.72,2.22,11,11,-3.06,-0.72,0.48,-6,0.34,1.81,0.86,1.15,9.5,1.87,False
0,1,109,-1.01,0.9,-0.44,5.14,0.09,20,-24,2.25,0.89,1.97,22,-0.42,-2.27,-1.06,-1.59,29.5,3.25,True
0,0,180,-0.11,0.47,-0.1,0.13,-1.16,67,16,-0.94,-0.37,2.33,-13,-0.02,-1.63,-0.91,-1.14,2.6,NaN,True
0,0,118,0.47,-1.78,-1.56,0.89,0.39,0,5,-0.28,-0.01,0.17,10,-0.63,0.94,0.41,1.23,7.8,NaN,True
1,1,32,-1.18,-1.57,-0.34,0.58,1.4,94,-23,-0.88,-1.08,1.49,3,0.1,-1.62,-1.08,-0.08,7.3,-0.73,True
1,1,103,0.84,-2.02,1.13,2.44,1.81,67,-1,1.09,-1.52,2.57,-18,1.52,2.58,1.35,0.13,15.3,-1.45,False
1,0,171,1.74,0.26,-0.76,0.61,-0.68,35,-3,0.11,0.82,2.05,-4,-0.2,0.08,-0.48,0.69,4.5,-2.17,False
0,1,76,0.8,1.85,1.01,4.23,-1.11,16,-14,1.04,0.6,0.77,6,1.22,-1.21,-0.77,0.83,25.2,4.99,True
0,0,118,1.6,1.19,0.73,1.09,-1.23,59,-23,-0.18,1,0.79,-1,-0.26,-0.39,0.64,0.07,8.2,NaN,True
1,0,141,-0.4,-0.18,-0.86,2.88,2.22,49,-8,0.71,-0.19,0.13,8,1.17,0.82,0.89,0.64,14.2,-0.03,False
1,0,99,0.01,-2.78,1.37,2.42,0.85,29,1,2.25,0.46,3.55,31,0.29,1.26,-0.11,0.96,16.2,-4.25,False
0,0,125,0.12,-0.65,-0.73,2.15,0.04,9,16,0.71,-0.02,0.52,-11,0.08,-1.31,-1.16,-0.52,5.6,0.85,False
1,0,41,0.46,2.23,0.12,1.24,-0.29,28,-15,0.18,-2.44,0.32,13,0.31,-0.25,-0.63,-0.19,7.8,0.21,True
1,1,10,0.4,-0.96,0.04,1.26,1.69,51,-6,0.82,0.16,2.21,-8,0.25,0.6,-1.53,-0.45,6.5,0.63,True
0,0,109,0.53,-0.71,0.76,1.19,-0.05,54,-17,0.34,-1.95,1.01,0,0.02,4.49,1.52,0.38,3.8,NaN,True
1,1,166,0.07,0.06,-0.89,-0.11,-1.54,16,8,-0.21,0.68,0.53,13,0.84,0.94,-0.16,-0.27,4.2,NaN,True
1,1,119,-1.39,1.56,-1.51,0.34,0.89,45,16,-1.29,0.68,1.7,10,0.28,0.9,-0.18,-0.62,7.6,0.43,False
1,0,57,-1.01,0.9,-0.06,1.63,1.1,64,-11,0.21,-0.93,1.18,-33,0.2,-2.59,0.21,0.22,5.7,1.05,False
1,0,12,0.16,-1.17,0.5,1.14,-1.28,44,-8,-0.76,0.87,0.64,-13,-0.2,1.45,0.74,-0.67,4.6,-0.51,False
1,1,61,-0.92,-1.3,1.08,0.48,0.27,37,16,-0.23,-0.14,0.64,-23,0.3,1.76,-0.35,-0.92,4,NaN,False
1,1,259,-0.07,-0.82,-1.49,-0.69,-0.73,49,22,-0.88,-0.07,0.61,1,0.56,3.2,-0.57,-0.28,4.9,0.73,True
1,0,61,-0.58,0.11,0.92,0.02,0.09,40,4,-0.65,-0.22,0.08,7,1.48,-0.66,-1.86,-0.42,2.2,NaN,True
1,0,72,1.03,-0.03,0.12,0.82,-0.7,41,30,-0.15,0.07,0.49,-12,-0.24,2.76,0.83,1.19,2.2,-0.39,False
1,1,120,0.04,-2.22,0.79,2.45,0.07,20,22,0.16,0.67,2.46,22,0.8,-1.43,-0.6,1.35,11.6,NaN,False
1,0,76,-2.55,0.77,0.83,0.44,-0.18,9,-2,-0.6,-0.86,0.5,9,1.51,2.35,1.42,-0.55,8,0.11,False
1,0,77,-0.52,-0.08,0.43,0.7,-0.29,7,20,0.02,1.47,0.33,1,0.32,0.84,-1.13,-0.09,2,0.79,True
1,0,97,1.32,-0.11,-0.51,1.2,-0.09,44,-1,0.25,-0.59,0.73,-9,-0.08,0.5,1.32,0.09,4.5,-0.45,True
0,0,266,-0.65,-2.47,1.76,1.74,0.59,28,18,-0.11,0.15,0.3,-3,0.47,0.2,-1.43,0.93,14,2.07,True
1,1,6,0.77,0.43,-1.77,2.22,-0.47,68,25,2.01,-0.94,0.15,21,2.27,-0.8,-0.83,1,9.1,NaN,False
1,1,22,0.49,-0.66,0.6,1.82,-1.51,27,0,0.43,0.41,1.04,-9,1.12,3.1,1.3,-0.58,6.6,NaN,False
1,0,22,1.21,-1.17,0.17,-1.52,0.29,30,26,-1.82,0.09,0.1,18,-1.2,2.28,1.51,1.31,5.3,-3.15,False
1,1,21,0.33,0.02,0.8,0.97,1.72,49,20,-0.24,-1.82,1.39,-21,-0.61,-0.75,-0.05,1.91,4.6,0.47,False
0,1,18,-0.15,-0.28,0.1,0.8,-0.43,24,-1,-0.4,-0.33,0.42,35,-1.08,0.67,-0.9,-0.34,1.9,NaN,True
0,0,189,2.2,-0.2,0.61,2.71,1.86,35,35,0.83,0.05,1.45,22,-0.5,1.68,2.44,0.83,16.1,NaN,False
1,0,107,0.57,0.09,0.74,2.77,-1.96,57,-10,1.39,0.48,1.65,-8,-1.36,0.86,-0.7,-0.8,12.4,NaN,False
1,0,49,-0.37,0.04,1.49,-0.71,0.16,116,31,-0.75,0.55,1.25,-3,-0.95,-1.14,-0.31,0.84,2.9,NaN,False
1,0,52,0.8,0.79,-0.87,2.66,-0.53,43,12,-0.65,-0.03,1.19,-13,0.92,-3.14,-1.76,0.04,10.4,4.71,True
1,1,5,-2.89,-0.43,1.63,1.43,-0.31,58,5,1.42,-1.51,2.83,-10,0.69,1.4,-0.8,1.35,13.3,NaN,False
1,1,76,0.33,-0.16,0.82,0.58,-0.07,25,6,-0.46,0.01,0.16,10,1.11,0.08,0.28,1.13,1.1,NaN,False
0,1,78,-2.82,-1.01,0.78,-0.06,0.53,37,1,-0.71,0.31,0.86,3,1.32,1.23,-0.23,1.09,9.9,0.17,False
0,1,92,-1.69,0.33,-1.13,-0.09,-0.72,49,8,-0.14,-1.87,0.4,-18,-2.05,1.41,-0.12,-0.42,4.8,NaN,False
0,1,52,3.01,0.1,-0.85,-1.13,-0.16,67,-3,-1.24,-3.36,0.7,-32,-1.51,1.77,0.11,-0.54,11.1,-3.99,False
1,0,107,1.46,-1.16,0.87,-1.52,0.03,45,7,-1.9,0.53,1.62,8,-0.25,0.42,0.26,0.97,7.5,-1.13,True
0,0,15,0.82,1.15,0.52,-1.31,1.02,13,35,-2.27,-2.44,0.4,-17,-0.43,2.97,-0.05,-0.06,5,-0.13,False
1,1,283,-0.06,0.34,0.34,1.69,-1.69,26,30,0.66,-0.96,0.77,-3,-1.97,-0.44,-0.75,0.57,6.9,1.47,True
1,0,20,-0.9,0.19,0.61,3.12,0.1,53,61,1.68,0.27,1.64,8,0.06,1.43,0.42,-0.33,12,0.43,True
1,1,46,0.79,0.03,-2.68,0.31,-0.87,14,38,0.26,0.11,0.78,2,0.6,-1.64,-1.03,-0.1,8.7,NaN,False
1,0,54,-0.07,0.64,-1.28,2.31,-1.5,6,11,-0.6,2.34,0.52,7,0.03,1.96,0.35,0.53,10.6,4.03,True
1,0,71,-1.49,0.97,-0.12,-0.29,0.74,67,6,-1.71,-0.69,0.22,-4,-0.28,1.24,1.11,0.3,4.8,0.81,True
0,0,50,-2.05,-0.7,0.15,1.32,-2.3,64,-7,0.53,0.32,0.92,0,-0.29,0.91,0.78,-1.07,12.7,0.39,True
1,1,20,-1.65,1.97,1.41,1.77,-1.41,47,14,-1.58,-0.62,0.36,27,0.09,0.27,0.57,-0.49,13.7,2.05,False
0,0,53,0.22,-0.61,-0.6,-0.03,1.5,67,32,-0.62,0.48,2.23,-21,-1.06,0.49,-0.88,-1.94,3,NaN,False
1,0,252,-1.33,-0.55,0.59,0.55,0.62,57,10,-0.44,-0.02,1.2,23,0.74,1.44,1.02,-1.25,4.1,NaN,True
0,0,8,-1.6,-1.44,0.47,2.19,0.01,44,1,1.44,0.21,1.15,-4,-0.09,2.09,1.71,-0.62,10.7,1.11,True
0,0,18,1.89,0.02,1.39,1.34,0.53,49,-9,1.16,-1.17,1.1,-16,-0.09,-2.05,-2.26,1.06,8.6,-1.01,True
0,1,149,-0.47,1.48,-1.05,1.84,-0.53,9,31,-0.54,0.29,0.23,16,-0.77,-2,-0.66,-0.67,8.2,NaN,True
0,1,91,3.24,0.5,-0.14,-0.73,0.34,34,35,-1.81,-0.01,0.2,5,-0.24,-1.62,-0.4,1.4,11.4,-3.45,False
1,0,111,0.33,0.29,-0.54,1.74,-1.02,12,25,-0.39,-0.87,0.98,16,0.56,1.54,0.73,-1.56,4.6,0.33,False
0,0,34,2.38,1.32,0.62,1.48,0.61,76,13,0.57,1.18,0.62,37,0.39,-0.17,0.26,0.35,10.4,NaN,False
1,0,22,0.83,-1.29,-0.67,-0.26,-1.15,7,39,-0.41,0.11,0.31,3,-0.74,1.05,0.88,-1.66,4.2,NaN,False
1,1,23,1.37,0.19,-0.39,1.38,-0.21,59,-4,0.68,0.35,1.23,18,-0.92,0.99,-0.15,-1.54,4,NaN,False
1,1,208,-0.98,0.58,-0.13,1.41,-0.12,16,-10,0.43,0.15,0.53,0,1.11,-0.52,-0.09,-0.83,3.3,NaN,False
1,0,154,0.11,-0.53,-1.39,2.49,-0.39,33,8,0.36,-1.47,0.85,13,0.35,0.58,-0.38,2.35,8.6,0.33,False
1,1,35,1.55,-0.5,-0.27,1.49,1.21,19,-23,0.15,1.94,0.47,-7,-1.65,-0.52,1.43,-0.96,7.4,NaN,True
1,0,29,0.61,-0.39,2.92,3.39,-0.55,30,-20,2.69,-0.51,0.24,-17,-0.24,0.11,0.51,0.21,21.8,NaN,True
1,0,43,2.29,-2.87,0.05,0.61,0.04,30,18,-1.15,1.52,1.31,-11,0.12,2.61,2.18,-1.68,13.9,-0.49,False
1,1,12,1.08,0.33,-0.92,1.98,0.32,20,31,-0.6,0.88,0.11,-12,0.35,2.79,1.66,0.17,7.1,4.39,True
1,1,158,-2.11,1.23,-0.48,0,-2.14,5,12,-0.07,-0.82,1.31,-35,-0.43,0.35,0.08,1.14,10.8,NaN,False
1,0,55,-0.81,-2.01,0.95,1.96,0.18,13,19,0.8,0.12,0.38,1,1.81,1.96,-0.4,-2,9.5,0.43,False
0,1,11,1.73,-1.16,0.89,4.56,1.28,42,24,1.93,2.54,1.33,-17,-1.51,-0.36,-0.02,0.4,27.6,1.97,False
1,0,68,2.86,1.83,-1.3,-1.03,1.8,40,38,-1.44,0.3,0.5,6,-0.88,0.16,-1.23,0.29,17.5,NaN,False
1,0,69,-0.56,-0.68,-1.36,4.36,1.83,15,38,1.42,-2.08,0.15,-13,0.98,-0.59,-0.62,-0.71,25,4.43,False
1,1,180,-2.3,1.07,0.85,-0.29,-2.89,26,-26,-1.25,0.24,1.23,-16,1.28,-1.59,0.78,-0.07,15.6,NaN,False
0,0,54,-3.8,-0.07,1.38,-1.44,-0.08,89,11,-1.51,2.05,0.3,0,-0.86,3.4,1.37,-1.29,18.4,-2.61,False
1,1,87,-1.97,-0.78,-0.96,1.99,-0.24,70,-13,0.71,0.28,0.72,-31,-1.11,1.26,-0.95,-0.65,9.4,0.53,False
1,1,144,0.37,-1.69,0.46,2.14,0.19,47,-7,-0.53,0.83,1.04,12,0.77,1.14,2.02,0.25,7.8,NaN,False
0,1,4,-2.36,0.39,0.56,1.07,0.22,2,17,0.8,0.06,0.08,27,-1.24,-3.02,-0.28,0.26,7.2,-1.71,False
0,1,48,-0.62,-0.54,-1.14,-0.58,0.13,40,15,-0.77,0.58,1.14,11,1.58,0.47,-0.51,-1.09,3.3,-0.25,True
0,1,14,-0.73,-1.15,-0.95,0.08,-0.53,20,27,-0.79,0.86,1.78,7,-0.52,2.62,0.65,0.74,3,NaN,False
0,0,42,-1.37,-1.03,1.41,2.44,-0.97,17,3,1.74,-0.05,0.98,-8,1.7,1.86,0.32,-3.19,11.8,0.35,False
1,1,189,-1.23,-0.4,1.77,-0.45,0.25,4,-5,-0.56,-0.97,0.4,0,0.17,0.78,-0.51,0.37,5.1,1.47,False
1,0,84,-1.73,-1.81,-0.34,1.95,0.43,80,30,0.48,-0.89,0.34,29,0.21,1.03,-0.71,-0.34,10.4,NaN,False
0,1,201,-2.06,-0.3,0.88,1.94,-0.78,36,-1,0.03,-1.02,1.61,17,-0.6,1.62,1.06,-0.07,9.5,0.57,False
1,1,226,-0.89,0.8,1.11,0.61,-0.09,2,8,-0.81,0.8,2.13,9,1.4,-1.44,-0.47,-1.06,3,NaN,False
1,1,139,1.02,0.75,-1.01,-1.71,2.34,53,21,-1.8,0.8,0.25,-15,0.17,3.58,1.62,0.79,12,0.97,True
1,1,27,-0.36,-1.3,-0.39,3.05,1.13,36,29,1.64,0.05,2.21,-2,-2.1,0.32,0.36,-1.12,12.6,0.85,False
0,0,116,-0.49,1.42,-1.59,-1.63,1.03,68,14,-1.65,1.88,0.05,1,1.45,1.85,0.41,-0.63,9.5,-0.57,True
0,1,234,-1.06,-1.03,-0.43,5.53,0.45,30,0,2.3,-0.2,0.24,-10,-0.27,2.95,0.39,-0.01,34.2,6.03,True
1,0,81,0.52,2.68,-0.89,0.67,0.32,81,18,-0.35,-0.35,0.24,-5,0.77,-0.31,-0.38,-0.87,8.8,NaN,False
0,1,110,-0.45,-0.74,2.09,-0.18,-0.21,32,23,-1.67,1.61,0.28,9,-0.06,-3.58,-3.06,0.88,5.2,0.23,False
0,0,97,0.48,-1.37,0.59,0.85,0.14,99,7,-0.9,1.61,1.37,14,1.59,0.29,-0.64,2.16,3.2,-4.23,False
1,1,105,-0.85,0.09,0.96,0.66,-1.24,35,7,0.1,-0.58,0.82,-19,2.22,2.22,-0.43,-0.99,3.6,0.81,False
0,0,96,-2.05,1.21,-2.18,0.87,0.85,36,3,0.49,-1.69,0.85,-2,0.61,-0.62,-0.08,1.67,11.9,-0.13,False
1,0,96,-0.5,0.98,-1.66,0.71,1.47,43,6,-2.04,-0.82,1.18,3,0.86,0.03,-1.03,-0.05,6.6,2.13,False
1,1,62,-0.41,0.56,0.97,-0.92,-1.97,65,-10,-1.2,1.46,0.59,-7,-0.56,1.78,-1.34,1.53,7.1,NaN,True
1,1,82,-1.06,-0.56,-2.05,2.62,-0.37,23,-3,1.12,-1.25,1.24,8,-0.26,1.23,-1.96,-0.03,12.6,0.59,False
0,1,189,-0.58,-1.77,0.06,0.03,0.54,33,-16,-1.19,1.33,2.8,12,-0.1,1.9,0.48,1.54,3.8,0.35,False
1,1,81,0.11,-1.8,-1.04,2.23,-0.94,3,-10,1.12,-0.43,0.47,-7,-0.23,2.11,2.35,-0.85,10.2,0.91,False
0,0,125,1.65,1.26,-0.84,-1.82,0.23,16,8,-2.05,1.92,0.82,23,0.98,4.04,1.67,-0.76,9.4,NaN,True
1,0,49,0.7,0.74,-0.08,1.3,-1.51,50,19,0.46,1.87,0.96,19,-1.5,-3.87,-1.09,-1.13,6,-1.45,True
0,1,154,0.35,-1.38,-0.02,1.8,0.07,44,21,0.24,-0.71,1.31,18,0.03,-1.19,-0.89,0.38,6.3,-0.85,True
1,1,141,0.98,-0.42,1.4,0.92,0.34,5,5,-0.18,-0.79,0.28,-26,0.83,-1.13,-2.2,0.09,4.1,0.29,False
1,1,201,0.24,-0.41,-0.32,-0.66,-0.32,96,20,-0.78,-1.52,1.52,0,0.51,2.02,-1.15,0.26,0.9,NaN,False
1,1,95,1.52,-1.52,-0.22,0.93,-0.23,87,6,0.91,-0.1,0.33,-20,-1.54,2.14,-0.84,-0.34,5.6,-4.13,False
0,1,75,-0.78,-0.15,-0.21,0.73,-0.1,16,55,-0.79,-0.85,1.85,25,1.16,0.13,-0.18,-2.06,2.2,0.13,True
